date_time,category,account,amount,currency,tags
2025-11-29 00:00:00,Job,acct_1,49.0,BYN,tag_1
2025-11-29 00:00:00,Job,acct_1,18.0,BYN,tag_2
2025-11-29 00:00:00,Job,acct_1,32.0,BYN,tag_3
2025-11-29 00:00:00,Job,acct_1,109.0,BYN,tag_4
2025-11-28 00:00:00,Second work,acct_1,132.0,BYN,2th_work
2025-11-25 00:00:00,Debt return / Borrowed money,acct_1,49.0,BYN,tag_5
2025-11-25 00:00:00,Job,acct_1,18.0,BYN,tag_1
2025-11-22 00:00:00,Job,acct_1,44.0,BYN,tag_1
2025-11-22 00:00:00,Job,acct_1,10.0,BYN,tag_2
2025-11-22 00:00:00,Job,acct_1,11.0,BYN,tag_3
2025-11-20 00:00:00,Job,acct_1,133.0,BYN,tag_4
2025-11-18 00:00:00,Job,acct_1,17.0,BYN,tag_1
2025-11-15 00:00:00,Job,acct_1,49.0,BYN,tag_2
2025-11-15 00:00:00,Job,acct_1,19.0,BYN,tag_1
2025-11-15 00:00:00,Job,acct_1,31.0,BYN,tag_3
2025-11-15 00:00:00,Debt return / Borrowed money,acct_2,17.0,BYN,tag_5
2025-11-13 00:00:00,Job,acct_1,31.0,BYN,tag_4
2025-11-11 00:00:00,Job,acct_1,17.0,BYN,tag_1
2025-11-11 00:00:00,Job,acct_1,76.0,BYN,tag_4
2025-11-09 00:00:00,Second work,acct_1,133.0,BYN,2th_work
2025-11-08 00:00:00,Job,acct_1,49.0,BYN,tag_2
2025-11-08 00:00:00,Job,acct_1,10.0,BYN,tag_1
2025-11-08 00:00:00,Job,acct_1,38.0,BYN,tag_3
2025-11-07 00:00:00,Gift,acct_1,178.0,BYN,tag_5
2025-11-07 00:00:00,Gift,acct_1,16.0,BYN,tag_5
2025-11-04 00:00:00,Gift,acct_2,3.0,BYN,tag_5
2025-11-01 00:00:00,Job,acct_1,28.0,BYN,tag_3
2025-10-28 00:00:00,Gift,acct_1,176.0,BYN,tag_5
2025-10-28 00:00:00,Job,acct_1,23.0,BYN,tag_2
2025-10-28 00:00:00,Job,acct_1,75.0,BYN,tag_1
2025-10-26 00:00:00,Job,acct_1,42.0,BYN,tag_2
2025-10-26 00:00:00,Job,acct_1,12.0,BYN,tag_1
2025-10-25 00:00:00,Second work,acct_1,371.0,BYN,2th_work
2025-10-25 00:00:00,Job,acct_1,29.0,BYN,tag_3
2025-10-21 00:00:00,Job,acct_1,33.0,BYN,tag_1
2025-10-20 00:00:00,Debt return / Borrowed money,acct_1,1345.0,BYN,tag_5
2025-10-20 00:00:00,Job,acct_1,67.0,BYN,tag_4
2025-10-20 00:00:00,Gift,acct_3,13.0,BYN,tag_5
2025-10-18 00:00:00,Job,acct_1,27.0,BYN,tag_2
2025-10-18 00:00:00,Job,acct_1,14.0,BYN,tag_1
2025-10-18 00:00:00,Job,acct_1,10.0,BYN,tag_3
2025-10-17 00:00:00,Gift,acct_1,197.0,BYN,tag_5
2025-10-15 00:00:00,Job,acct_1,22.0,BYN,tag_4
2025-10-15 00:00:00,Second work,acct_1,178.0,BYN,2th_work
2025-10-14 00:00:00,Job,acct_1,13.0,BYN,tag_1
2025-10-12 00:00:00,Job,acct_1,16.0,BYN,tag_3
2025-10-11 00:00:00,Job,acct_1,39.0,BYN,tag_1
2025-10-11 00:00:00,Job,acct_1,9.0,BYN,tag_2
2025-10-11 00:00:00,Gift,acct_1,11.0,BYN,tag_5
2025-10-10 00:00:00,Job,acct_1,22.0,BYN,tag_4
2025-10-10 00:00:00,Job,acct_1,98.0,BYN,tag_6
2025-10-07 00:00:00,Job,acct_1,11.0,BYN,tag_1
2025-10-05 00:00:00,Debt return / Borrowed money,acct_1,25.0,BYN,tag_5
2025-10-04 00:00:00,Job,acct_1,25.0,BYN,tag_1
2025-10-04 00:00:00,Job,acct_1,38.0,BYN,tag_2
2025-10-04 00:00:00,Job,acct_1,45.0,BYN,tag_3
2025-10-04 00:00:00,Gift,acct_2,7.0,BYN,tag_5
2025-09-30 00:00:00,Job,acct_1,31.0,BYN,tag_1
2025-09-28 00:00:00,Job,acct_1,93.0,BYN,tag_7
2025-09-28 00:00:00,Second work,acct_2,71.0,BYN,2th_work
2025-09-28 00:00:00,Second work,acct_1,117.0,BYN,2th_work
2025-09-27 00:00:00,Gift,acct_1,1140.0,BYN,tag_5
2025-09-27 00:00:00,Job,acct_1,49.0,BYN,tag_2
2025-09-27 00:00:00,Job,acct_1,36.0,BYN,tag_1
2025-09-27 00:00:00,Job,acct_1,20.0,BYN,tag_3
2025-09-27 00:00:00,Cashback,acct_1,7.0,BYN,tag_5
2025-09-27 00:00:00,Gift,acct_2,58.0,BYN,tag_5
2025-09-25 00:00:00,Gift,acct_1,79.0,BYN,tag_5
2025-09-25 00:00:00,Gift,acct_1,678.0,BYN,tag_5
2025-09-24 00:00:00,Job,acct_1,60.0,BYN,tag_4
2025-09-24 00:00:00,Job,acct_1,53.0,BYN,tag_6
2025-09-23 00:00:00,Job,acct_1,17.0,BYN,tag_1
2025-09-23 00:00:00,Gift,acct_1,1506.0,BYN,tag_5
2025-09-21 00:00:00,Second work,acct_2,34.0,BYN,tag_5
2025-09-21 00:00:00,Job,acct_1,77.0,BYN,tag_4
2025-09-20 00:00:00,Second work,acct_1,88.0,BYN,2th_work
2025-09-20 00:00:00,Job,acct_1,50.0,BYN,tag_2
2025-09-20 00:00:00,Job,acct_1,16.0,BYN,tag_1
2025-09-17 00:00:00,Job,acct_1,28.0,BYN,tag_1
2025-09-15 00:00:00,Second work,acct_2,279.0,BYN,2th_work
2025-09-14 00:00:00,Second work,acct_1,15.0,BYN,tag_5
2025-09-14 00:00:00,Job,acct_1,76.0,BYN,tag_7
2025-09-13 00:00:00,Job,acct_1,39.0,BYN,tag_1
2025-09-13 00:00:00,Job,acct_1,39.0,BYN,tag_2
2025-09-13 00:00:00,Job,acct_1,46.0,BYN,tag_3
2025-09-12 00:00:00,Second work,acct_1,83.0,BYN,tag_5
2025-09-11 00:00:00,Second work,acct_1,8.0,BYN,tag_5
2025-09-11 00:00:00,Debt return / Borrowed money,acct_1,223.0,BYN,tag_5
2025-09-11 00:00:00,Gift,acct_3,28.0,BYN,tag_5
2025-09-09 00:00:00,Second work,acct_1,85.0,BYN,2th_work
2025-09-09 00:00:00,Job,acct_1,13.0,BYN,tag_1
2025-09-07 00:00:00,Job,acct_1,64.0,BYN,tag_6
2025-09-06 00:00:00,Job,acct_1,34.0,BYN,tag_2
2025-09-06 00:00:00,Job,acct_1,28.0,BYN,tag_1
2025-09-06 00:00:00,Job,acct_1,49.0,BYN,tag_3
2025-09-04 00:00:00,Second work,acct_1,47.0,BYN,tag_5
2025-09-03 00:00:00,Job,acct_1,20.0,BYN,tag_1
2025-09-01 00:00:00,Second work,acct_1,246.0,BYN,2th_work
2025-08-30 00:00:00,Second work,acct_1,102.0,BYN,2th_work
2025-08-30 00:00:00,Gift,acct_1,10.0,BYN,tag_5
2025-08-29 00:00:00,Job,acct_2,22.0,BYN,tag_8
2025-08-28 00:00:00,Second work,acct_2,52.0,BYN,tag_5
2025-08-28 00:00:00,Second work,acct_1,250.0,BYN,2th_work
2025-08-27 00:00:00,Job,acct_2,50.0,BYN,tag_8
2025-08-26 00:00:00,Job,acct_1,31.0,BYN,tag_2
2025-08-26 00:00:00,Job,acct_1,18.0,BYN,tag_1
2025-08-25 00:00:00,Job,acct_1,38.0,BYN,tag_8
2025-08-25 00:00:00,Job,acct_1,29.0,BYN,tag_3
2025-08-22 00:00:00,Second work,acct_1,167.0,BYN,2th_work
2025-08-22 00:00:00,Job,acct_1,43.0,BYN,tag_1
2025-08-22 00:00:00,Job,acct_1,11.0,BYN,tag_2
2025-08-22 00:00:00,Job,acct_2,43.0,BYN,tag_8
2025-08-21 00:00:00,Gift,acct_1,7.0,BYN,tag_5
2025-08-20 00:00:00,Job,acct_2,27.0,BYN,tag_8
2025-08-20 00:00:00,Job,acct_1,28.0,BYN,tag_1
2025-08-18 00:00:00,Job,acct_1,53.0,BYN,tag_3
2025-08-18 00:00:00,Deposit interest,acct_4,58.0,BYN,tag_5
2025-08-16 00:00:00,Second work,acct_1,308.0,BYN,2th_work
2025-08-15 00:00:00,Job,acct_1,19.0,BYN,tag_8
2025-08-15 00:00:00,Job,acct_1,50.0,BYN,tag_1
2025-08-15 00:00:00,Job,acct_1,18.0,BYN,tag_2
2025-08-14 00:00:00,Second work,acct_1,65.0,BYN,2th_work
2025-08-14 00:00:00,Second work,acct_1,224.0,BYN,2th_work
2025-08-13 00:00:00,Job,acct_1,29.0,BYN,tag_8
2025-08-12 00:00:00,Job,acct_1,42.0,BYN,tag_1
2025-08-11 00:00:00,Job,acct_1,18.0,BYN,tag_8
2025-08-10 00:00:00,Debt return / Borrowed money,acct_1,50.0,BYN,tag_5
2025-08-08 00:00:00,Job,acct_1,26.0,BYN,tag_2
2025-08-08 00:00:00,Job,acct_1,43.0,BYN,tag_1
2025-08-05 00:00:00,Job,acct_1,15.0,BYN,tag_1
2025-08-04 00:00:00,Job,acct_1,36.0,BYN,tag_8
2025-08-04 00:00:00,Job,acct_1,13.0,BYN,tag_3
2025-08-03 00:00:00,Second work,acct_1,117.0,BYN,2th_work
2025-08-02 00:00:00,Second work,acct_1,161.0,BYN,2th_work
2025-08-01 00:00:00,Job,acct_1,37.0,BYN,tag_2
2025-08-01 00:00:00,Job,acct_1,49.0,BYN,tag_8
2025-07-30 00:00:00,Job,acct_1,49.0,BYN,tag_8
2025-07-29 00:00:00,Cashback,acct_2,59.0,BYN,tag_5
2025-07-27 00:00:00,Second work,acct_1,73.0,BYN,2th_work
2025-07-22 00:00:00,Job,acct_1,28.0,BYN,tag_1
2025-07-21 00:00:00,Gift,acct_1,22.0,BYN,tag_5
2025-07-21 00:00:00,Job,acct_1,24.0,BYN,tag_8
2025-07-20 00:00:00,Second work,acct_1,219.0,BYN,2th_work
2025-07-19 00:00:00,Second work,acct_1,76.0,BYN,2th_work
2025-07-18 00:00:00,Job,acct_1,22.0,BYN,tag_1
2025-07-18 00:00:00,Job,acct_1,17.0,BYN,tag_2
2025-07-16 00:00:00,Job,acct_1,30.0,BYN,tag_1
2025-07-16 00:00:00,Second work,acct_1,55.0,BYN,2th_work
2025-07-15 00:00:00,Job,acct_1,49.0,BYN,tag_8
2025-07-11 00:00:00,Job,acct_1,28.0,BYN,tag_2
2025-07-10 00:00:00,Second work,acct_1,108.0,BYN,2th_work
2025-07-09 00:00:00,Job,acct_2,43.0,BYN,tag_8
2025-07-07 00:00:00,Job,acct_2,36.0,BYN,tag_8
